type,image,ru,en
,,,
*,flat,Трехкомнатная квартира,One-bedroom flat
,,,
**,bedroom,Спальня родителей,Parents' bedroom
21 22,bra,Бра,Bra
21 22,bra,Бра,Bra
21 22,light,Потолочный светильник,Ceiling
22,light,Торшер прикроватный,Torchere
22,light,Торшер прикроватный,Torchere
22,light,Подсветка потолка,Ceiling
,,,
**,room,Детская,
22,light,Бра,
22,light,Потолочный светильник,
22,light,Ночник,
22,light,Настольная лампа,
,,,
**,room,Зал/гостиная,
22,light,Подсветка потолка,
22,light,Потолочный светильник,
22,light,Торшер,
22,light,Подсветка мебели (полок),
,,,
**,room,Кухня,
22,light,Подсветка потолка,
22,light,Подсветка рабочей зоны,
22,light,Потолочный светильник,
22,light,Рулонная штора,
22,light,Микроволновка вкл/выкл,
22,light,Холодильник вкл/выкл,
22,light,Теплый эл пол вкл/выкл,
,,,
**,room,Санузел,
22,light,Подсветка потолка,
22,light,Подсветка зеркала,
22,light,Теплый эл пол вкл/выкл,
22,light,Джакузи вкл/выкл,
22,light,Вентилятор,
,,,
**,room,Корридор/прихожая,
22,light,Потолочный светильник,
22,light,Бра настенные,
22,light,Бра настенные,
22,light,Подсветка потолка,
