type,image,ru,en
,,,
*,,Четырехэтажный дом,
,,,
**,,Гараж,
22,,Ворота гаражные,
22,,Ворота гаражные,
22,,Потолочный светильник,
22,,Потолочный светильник,
,,,
**,,Улица/двор,
22,,Въездные ворота,
22,,Калитка,
22,,Освещение въездных ворот,
22,,Подсветка въезда в гараж,
22,,Подсветка софита,
22,,Подсветка дорожек,
22,,Подсветка растений,
22,,Подсветка дорожек,
22,,Подсветка растений,
22,,Гирлянды,
22,,Гирлянды,
22,,Гирлянды,
22,,Фонтан,
22,,Водопад,
22,,Поливочная система,
22,,Поливочная система,
22,,Поливочная система,
22,,Подсветка зоны барбекю,
22,,Подсветка зоны барбекю,
22,,Подсветка зоны барбекю,
,,,
**,,Бассейн,
22,,Подсветка внутри бассейна,
22,,Подсветка зоны бассейна,
22,,Роллета для закрытия бассейна,
,,,
**,,Теплица / оранжерея,
22,,Роллеты,
22,,Роллеты,
22,,Роллеты,
22,,Роллеты,
22,,Верхняя подсветка,
22,,Полив,
22,,Полив,
22,,Специальное освещение для растений,
22,,Подогрев,
,,,
**,,Цокольный этаж,
,,,
***,,Котельная,
,,,
22,,Потолочное освещение,
22,,Циркуляционный насос,
,,,
***,,Прачечная,
,,,
22,,Потолочное освещение,
22,,Стиральная машина,
22,,Сушильная машина,
22,,Пароочиститель,
22,,Утюг,
,,,
***,,Кладовая,
,,,
22,,Центральное освещение,
22,,Подсветка полок,
22,,Подсветка полок,
,,,
***,,Спортзал,
,,,
22,,Потолочное освещение,
22,,Настенное освещение,
,,,
***,,Дискозал-бар,
,,,
22,,Потолочное освещение,
22,,Светомузыка,
22,,Стеклянная сфера,
22,,Подсветка барной зоны,
22,,Холодильник в баре,
22,,Винный шкаф,
22,,Электрочайник,
,,,
***,,Лестница на первый этаж,
,,,
22,,Нижняя подсветка,
22,,Верхняя подсветка,
,,,
**,,Этаж 1,
,,,
***,,Крыльцо,
,,,
22,,Подогрев крыльца,
22,,Освещение крыльца,
22,,Гирлянда,
,,,
***,,Терраса,
,,,
22,,Потолочная подсветка,
22,,Розетка вкл/выкл,
,,,
***,,Прихожая,
,,,
22,,Подсветка потолка,
22,,Потолочный светильник,
22,,Теплый эл пол вкл/выкл,
22,,Входная дверь откр/закр,
,,,
***,,Коридор/холл,
,,,
22,,Подсветка потолка,
22,,Подсветка стены (внизу),
22,,Теплый эл пол вкл/выкл,
,,,
***,,Гардеробная,
,,,
22,,Потолочная подсветка,
22,,Подсветка боковая,
,,,
***,,Гостиная,
,,,
22,,Подсветка потолка,
22,,Потолочный светильник,
22,,Торшер,
22,,Подсветка мебели (полок),
22,,Настенные бра,
22,,Настенные бра,
22,,Настенные бра,
22,,Настенные бра,
22,,Шторы,
22,,Шторы,
22,,Шторы,
22,,Шторы,
,,,
***,,Санузел,
,,,
22,,Подсветка потолка,
22,,Подсветка зеркала,
22,,Теплый эл пол вкл/выкл,
22,,Вентилятор,
22,,Обогрев зеркала,
,,,
***,,Кухня,
,,,
22,,Подсветка потолка,
